get along with smb. - be friendly, уживаться с кем-н.
get around	- travel	разъезжать (с места на место), spread	распространяться
*get around smth.	- avoid, избегать чего-н.
get away		- leave, уходить
get back		- return, возвращаться
get smth. back	-	recover, получать что-н. обратно
get down		- descend, опускаться
get in		- get inside, входить внутрь
get off		- leave a vehicle, выходить (из автобуса, поезда и т.п.)
get on		- board a vehicle, садиться (в автобус, поезд и т.п.)
get on with smb.	- be friendly, уживаться с кем-н.
get on with smth.	- manage, справляться с чем-н.
get out of smth.	- get outside, выходить из чего-н., avoid, избегать чего-н.
*get over smth.		- overcome, преодолевать что-н.
get over it!		- смирись с этим! (воскл.)
*get through smth.	- pass, выдерживать что-н. (экзамен и т.п.), spend, расходовать что-н.
get through to smb.	- contact, дозваниваться до кого-н.
get through with smth.	- finish, заканчивать с чем-н.
get up		- stand, вставать (тж. просыпаться) , ascend, подниматься наверх
give smth. away	-	donate, дарить что-н., ruin a secret, выдавать что-н. как секрет
give smth. back	-	restore, отдавать что-н. обратно
give in		- yield, уступать (в споре, драке и т.п.)
give smth. up	- quit, бросать что-н. делать
give up		- stop trying, сдаваться
go ahead!	- давай! (воскл.)
go away		- leave, уходить
go back		- return, возвращаться
go down		- become lower, идти вниз, lose,терпеть поражение
go in		- enter, входить
go off		- leave, уходить
go on		- continue, продолжать, happen, случаться
go out		- leave home, выходить на улицу
go out with smb.	- date, встречаться с кем-н. (на свиданиях)
*go over smth.		- review, просматривать что-н.
go up		- rise, идти вверх
grow up		- become an adult, взрослеть
hang around	- waste time, слоняться без дела
hang on!	- подожди!, держись!
hang out	- relax, тусоваться
hang smth. up	- put on a hook, вешать что-н. (на крючок и т.п.)
hang up		- end a phone call, вешать трубку
have smth. on	- wear, быть одетым во что-н., switch on, оставлять что-н. включенным
have smb. on	- trick, разыгрывать кого-н.
hold smb. back	- restrain, сдерживать кого-н.
hold smth. back	- hide, скрывать что-н.
hold on!	- подожди! , держись! 
hold smb. up	- delay, задерживать кого-н.,rob, грабить кого-н.
hold up		- be strong, держаться (контролировать себя)
hurry up!	- быстрее! 
keep away from smth.	- avoid, держаться в стороне от чего-н.
keep smth. down	- restrain, сдерживать что-н.
*keep on smth.	- continue, продолжать что-н. делать
keep smb. out	- stop from entering, держать кого-н. снаружи
keep out of smth.	- avoid, держаться в стороне от чего-н.
keep smth. up	- continue, продолжать что-н. (в том же духе)
keep up with smb.	- keep pace, поспевать за кем-н.
kick smb. out	- eject, выгонять кого-н.
